repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,dependencies,main-category,sub-category,liveness,unique-contributors
yetanalytics/dl4clj,99,0,0,0,0,0.000,773,1955,2838,8,Clojure,false,0,Clojure,Deep Learning,0.000,0
techascent/tech.ml.dataset,599,9,3,1,0,15.025,3,11,1743,20,Clojure,false,0,Clojure,Data Analysis,32.000,2
scicloj/tablecloth,246,8,2,0,0,32.520,7,29,1256,22,Clojure,false,0,Clojure,Data Analysis,17.000,1
alanmarazzi/panthera,187,1,0,0,0,5.348,20,1299,1617,3,Clojure,false,0,Clojure,Data Analysis,2.000,0
Netflix/PigPen,551,0,0,0,0,0.000,99,2375,3632,611,Clojure,false,0,Clojure,Data Analysis,0.000,0
zero-one-group/geni,269,1,1,1,0,3.717,3,1,1314,17,Clojure,false,0,Clojure,Data Analysis,50.000,3
jsa-aerial/saite,129,2,0,0,0,15.504,14,9,1905,2,Clojure,false,0,Clojure,Data Visualization,24.000,1
metasoarous/oz,814,2,0,0,0,2.457,15,474,2110,25,Clojure,false,0,Clojure,Data Visualization,4.000,0
clojurewerkz/envision,78,0,0,0,0,0.000,693,2109,3517,2,Clojure,false,0,Clojure,Data Visualization,0.000,0
pink-gorilla/gorilla-notebook,103,0,0,0,0,0.000,131,879,2507,13,Clojure,false,0,Clojure,Data Visualization,0.000,0
clojupyter/clojupyter,797,5,2,2,0,6.274,3,382,3485,26,Clojure,false,0,Clojure,Data Visualization,12.000,0
scicloj/notespace,144,2,1,1,1,13.889,0,578,1468,21,Clojure,false,0,Clojure,Data Visualization,22.000,0
datamechanics/delight,327,2,1,0,0,6.116,11,259,1123,6,Scala,false,0,Clojure,Data Visualization,7.000,0
clj-python/libpython-clj,978,5,4,2,0,5.112,3,18,1652,24,Clojure,false,0,Clojure,Interop,22.000,1
scicloj/clojisr,137,0,0,0,0,0.000,58,330,1625,20,HTML,false,0,Clojure,Interop,0.000,0
