repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,dependencies,main-category,sub-category,liveness,unique-contributors
numenta/nupic,6331,6,3,0,0,0.948,8,83,3883,108,Python,true,18,Python,General-Purpose Machine Learning,0.000,0
lisa-lab/pylearn2,2743,1,1,0,0,0.365,13,825,4749,124,Python,false,0,Python,General-Purpose Machine Learning,5.000,0
keras-team/keras,59780,264,114,52,6,4.416,0,0,3162,1194,Python,false,6,Python,General-Purpose Machine Learning,100.000,21
Lasagne/Lasagne,3846,6,2,1,0,1.560,6,1464,3360,65,Python,false,6,Python,General-Purpose Machine Learning,12.000,0
hannes-brt/hebel,1170,1,0,0,0,0.855,29,3024,3655,6,Python,false,4,Python,General-Purpose Machine Learning,2.000,0
chainer/chainer,5829,8,7,2,1,1.372,0,402,3093,256,Python,false,13,Python,General-Purpose Machine Learning,27.000,0
RaRe-Technologies/gensim,14800,86,39,21,5,5.811,0,53,4669,422,Python,false,13,Python,General-Purpose Machine Learning,56.000,0
ContinuumIO/topik,93,0,0,0,0,0.000,357,2767,3212,21,Python,true,1,Python,General-Purpose Machine Learning,0.000,0
pybrain/pybrain,2847,7,3,2,0,2.459,1,2167,5257,34,Python,false,0,Python,General-Purpose Machine Learning,12.000,0
IDSIA/brainstorm,1300,0,0,0,0,0.000,43,2443,3316,19,Python,false,1,Python,General-Purpose Machine Learning,0.000,0
muricoca/crab,1179,1,1,1,0,0.848,4,4284,4601,7,Python,false,0,Python,General-Purpose Machine Learning,10.000,0
ocelma/python-recsys,1468,3,1,1,1,2.044,0,1890,4427,4,Python,false,0,Python,General-Purpose Machine Learning,22.000,0
AllenDowney/ThinkBayes,1629,1,0,0,0,0.614,23,1287,3790,6,TeX,false,0,Python,General-Purpose Machine Learning,2.000,0
williamFalcon/pix2pix-keras,141,0,0,0,0,0.000,105,2432,2464,1,Python,false,12,Python,General-Purpose Machine Learning,0.000,0
pprett/bolt,87,0,0,0,0,0.000,1257,4432,5224,2,C,false,0,Python,General-Purpose Machine Learning,0.000,0
patvarilly/CoverTree,31,0,0,0,0,0.000,121,4272,4276,1,Python,false,0,Python,General-Purpose Machine Learning,0.000,0
nilearn/nilearn,1057,8,5,1,0,7.569,1,0,4701,202,Python,false,0,Python,General-Purpose Machine Learning,62.000,6
raamana/neuropredict,99,0,0,0,0,0.000,31,13,2457,3,Python,false,0,Python,General-Purpose Machine Learning,20.000,1
ZhiningLiu1998/imbalanced-ensemble,265,6,0,0,0,22.642,15,124,988,1,Python,false,8,Python,General-Purpose Machine Learning,4.000,0
shogun-toolbox/shogun,2976,4,2,2,1,1.344,0,1080,4619,180,C++,false,0,Python,General-Purpose Machine Learning,22.000,0
perone/Pyevolve,310,0,0,0,0,0.000,62,2942,4487,12,Python,false,0,Python,General-Purpose Machine Learning,0.000,0
BVLC/caffe,33657,67,30,12,3,1.991,0,1379,3724,275,C++,false,0,Python,General-Purpose Machine Learning,40.000,0
breze-no-salt/breze,97,0,0,0,0,0.000,186,2638,3737,9,Jupyter Notebook,false,0,Python,General-Purpose Machine Learning,0.000,0
cortexlabs/cortex,7963,6,4,3,0,0.753,3,264,1764,21,Go,false,42,Python,General-Purpose Machine Learning,12.000,0
mattjj/pyhsmm,535,0,0,0,0,0.000,61,1186,4267,8,Python,false,0,Python,General-Purpose Machine Learning,0.000,0
EducationalTestingService/skll,536,1,1,1,0,1.866,6,9,3765,31,Python,false,3,Python,General-Purpose Machine Learning,30.000,2
HIPS/Spearmint,1527,2,1,0,0,1.310,10,1696,3397,16,Python,false,0,Python,General-Purpose Machine Learning,7.000,0
jmschrei/pomegranate,3199,16,7,4,0,5.002,1,10,3286,68,Python,false,6,Python,General-Purpose Machine Learning,41.000,1
proycon/python-timbl,17,1,0,0,0,58.824,23,1263,3937,2,Python,false,0,Python,General-Purpose Machine Learning,2.000,0
deap/deap,5360,50,24,15,5,9.328,0,118,3473,81,Python,false,0,Python,General-Purpose Machine Learning,40.000,0
andersbll/deeppy,1370,0,0,0,0,0.000,44,2787,3353,2,Python,false,3,Python,General-Purpose Machine Learning,0.000,0
rasbt/mlxtend,4572,32,13,7,0,6.999,2,61,3388,94,Python,false,6,Python,General-Purpose Machine Learning,25.000,0
NervanaSystems/neon,3861,4,1,1,1,1.036,0,1646,3325,236,Python,true,21,Python,General-Purpose Machine Learning,0.000,0
mnielsen/neural-networks-and-deep-learning,14896,92,46,20,1,6.176,0,2082,4027,10,Python,false,4,Python,General-Purpose Machine Learning,50.000,0
spotify/annoy,12170,135,51,21,3,11.093,0,95,3888,140,C++,false,0,Python,General-Purpose Machine Learning,60.000,0
EpistasisLab/tpot,9313,55,23,12,1,5.906,0,77,2941,79,Python,false,12,Python,General-Purpose Machine Learning,40.000,0
NVIDIA/DIGITS,4106,1,1,0,0,0.244,8,1321,3173,55,HTML,false,0,Python,General-Purpose Machine Learning,5.000,0
apache/incubator-mxnet,20643,56,23,4,1,2.713,0,300,3129,893,C++,true,0,Python,General-Purpose Machine Learning,10.000,0
luispedro/milk,610,0,0,0,0,0.000,137,3118,5115,9,Python,true,0,Python,General-Purpose Machine Learning,0.000,0
tflearn/tflearn,9601,6,4,0,0,0.625,9,1088,2793,121,Python,false,8,Python,General-Purpose Machine Learning,7.000,0
yandex/rep,677,1,0,0,0,1.477,23,2569,3146,21,Jupyter Notebook,false,0,Python,General-Purpose Machine Learning,2.000,0
RGF-team/rgf,367,1,1,1,0,2.725,5,684,2724,11,C++,false,0,Python,General-Purpose Machine Learning,10.000,0
AmazaspShumik/sklearn-bayes,497,3,1,1,0,6.036,3,791,3038,6,Jupyter Notebook,false,0,Python,General-Purpose Machine Learning,12.000,0
fukuball/fuku-ml,278,0,0,0,0,0.000,277,1899,2869,1,Python,false,5,Python,General-Purpose Machine Learning,0.000,0
reiinakano/xcessiv,1266,0,0,0,0,0.000,101,2285,2452,6,Python,false,12,Python,General-Purpose Machine Learning,0.000,0
pytorch/pytorch,72821,1023,481,258,38,14.048,0,0,2658,3077,Python,false,3,Python,General-Purpose Machine Learning,100.000,260
PyTorchLightning/pytorch-lightning,25192,306,142,67,12,12.147,0,0,1698,880,Python,false,3,Python,General-Purpose Machine Learning,100.000,17
PyTorchLightning/pytorch-lightning-bolts,1603,14,7,3,0,8.734,1,73,1338,118,Python,false,2,Python,General-Purpose Machine Learning,21.000,0
skorch-dev/skorch,5406,50,21,11,3,9.249,0,3,2319,58,Jupyter Notebook,false,0,Python,General-Purpose Machine Learning,70.000,1
eriklindernoren/ML-From-Scratch,22593,144,107,27,3,6.374,0,1496,2482,6,Python,false,0,Python,General-Purpose Machine Learning,60.000,0
omimo/xRBM,54,0,0,0,0,0.000,339,2290,2547,1,Python,false,0,Python,General-Purpose Machine Learning,0.000,0
catboost/catboost,7468,65,27,14,1,8.704,0,0,2319,343,Python,false,0,Python,General-Purpose Machine Learning,90.000,15
fukatani/stacked_generalization,116,0,0,0,0,0.000,181,1666,2753,4,Python,false,3,Python,General-Purpose Machine Learning,0.000,0
modAL-python/modAL,2058,25,15,7,0,12.148,1,175,2200,18,Python,false,0,Python,General-Purpose Machine Learning,25.000,0
jgreenemi/Parris,319,0,0,0,0,0.000,186,2135,2152,3,Python,false,7,Python,General-Purpose Machine Learning,0.000,0
siavashserver/neonrvm,36,1,1,1,0,27.778,3,1187,2105,1,C,true,0,Python,General-Purpose Machine Learning,0.000,0
apple/turicreate,11123,32,17,10,3,2.877,0,724,2183,82,C++,false,0,Python,General-Purpose Machine Learning,35.000,0
aksnzhy/xlearn,3073,4,0,0,0,1.302,14,536,2357,25,C++,false,0,Python,General-Purpose Machine Learning,4.000,0
flennerhag/mlens,809,3,2,1,0,3.708,6,1367,2508,2,Python,false,2,Python,General-Purpose Machine Learning,12.000,0
scoremedia/thampi,9,0,0,0,0,0.000,408,1835,1946,200,Python,false,0,Python,General-Purpose Machine Learning,0.000,0
mindsdb/mindsdb,19057,595,261,79,20,31.222,0,0,1939,747,Python,false,19,Python,General-Purpose Machine Learning,100.000,47
PreferredAI/cornac,763,7,1,0,0,9.174,12,1,1955,19,Python,false,0,Python,General-Purpose Machine Learning,47.000,3
google/jax,25655,622,205,106,12,24.245,0,0,1854,577,Python,false,3,Python,General-Purpose Machine Learning,100.000,39
catalyst-team/catalyst,3186,6,3,1,1,1.883,0,573,1921,108,Python,false,0,Python,General-Purpose Machine Learning,22.000,0
fastai/fastai,24817,146,67,34,5,5.883,0,21,2266,233,Jupyter Notebook,false,0,Python,General-Purpose Machine Learning,70.000,2
scikit-multiflow/scikit-multiflow,717,3,2,1,0,4.184,5,1099,2200,35,Python,false,6,Python,General-Purpose Machine Learning,12.000,0
mindsdb/lightwood,388,5,2,1,1,12.887,0,24,1647,42,Python,false,28,Python,General-Purpose Machine Learning,32.000,1
jungtaekkim/bayeso,82,0,0,0,0,0.000,47,2,2185,1,Python,false,1,Python,General-Purpose Machine Learning,40.000,1
mljar/mljar-supervised,2826,38,12,5,0,13.447,2,41,1844,19,Python,false,17,Python,General-Purpose Machine Learning,31.000,0
alirezamika/evostra,261,0,0,0,0,0.000,45,2002,2351,1,Python,false,0,Python,General-Purpose Machine Learning,0.000,0
determined-ai/determined,2561,73,22,11,2,28.504,0,0,1325,97,Go,false,76,Python,General-Purpose Machine Learning,90.000,43
OpenMined/PySyft,9005,55,20,9,1,6.108,0,0,2319,421,Python,false,0,Python,General-Purpose Machine Learning,85.000,9
alan-turing-institute/sktime,7031,66,31,13,3,9.387,0,1,1843,305,Python,false,0,Python,General-Purpose Machine Learning,90.000,17
gugarosa/opfython,31,0,0,0,0,0.000,138,13,2106,2,Python,false,6,Python,General-Purpose Machine Learning,20.000,1
gugarosa/opytimizer,580,3,1,1,0,5.172,1,62,2213,4,Python,false,10,Python,General-Purpose Machine Learning,12.000,0
gradio-app/gradio,23677,833,385,202,36,35.182,0,0,1800,217,Python,false,21,Python,General-Purpose Machine Learning,100.000,21
activeloopai/Hub,7145,152,56,28,5,21.274,0,0,1567,86,Python,false,0,Python,General-Purpose Machine Learning,100.000,10
dmey/synthia,47,0,0,0,0,0.000,31,674,1362,4,Python,false,0,Python,General-Purpose Machine Learning,0.000,0
bytehub-ai/bytehub,56,0,0,0,0,0.000,117,956,1017,1,Python,false,8,Python,General-Purpose Machine Learning,0.000,0
backprop-ai/backprop,240,3,2,2,0,12.500,2,934,1119,6,Python,false,6,Python,General-Purpose Machine Learning,12.000,0
dirty-cat/dirty_cat,6,1,1,0,0,166.667,8,177,191,5,Python,false,0,Python,General-Purpose Machine Learning,5.000,0
edtechre/pybroker,1349,43,11,6,1,31.875,0,26,311,2,Python,false,26,Python,General-Purpose Machine Learning,45.000,1
Shanky-21/Data_visualization,32,1,0,0,0,31.250,19,1118,1202,2,Jupyter Notebook,false,0,Python,Data Analysis / Data Visualization,2.000,0
mars-project/mars,2654,8,1,0,0,3.014,8,21,1814,53,Python,false,0,Python,Data Analysis / Data Visualization,17.000,1
cdslaborg/paramonte,218,4,2,1,0,18.349,5,863,1387,8,Fortran,false,0,Python,Data Analysis / Data Visualization,12.000,0
vaexio/vaex,8058,29,15,7,2,3.599,0,125,3344,63,Python,false,12,Python,Data Analysis / Data Visualization,35.000,0
mining/mining,1247,4,2,1,0,3.208,6,2547,3591,13,Python,true,11,Python,Data Analysis / Data Visualization,0.000,0
pymc-devs/pymc,7889,54,31,17,5,6.845,0,0,5315,415,Python,false,8,Python,Data Analysis / Data Visualization,100.000,10
quantopian/zipline,16619,70,35,20,5,4.212,0,1135,4052,129,Python,false,0,Python,Data Analysis / Data Visualization,50.000,0
sympy/sympy,11565,121,60,30,2,10.463,0,2,4955,1172,Python,false,0,Python,Data Analysis / Data Visualization,100.000,13
statsmodels/statsmodels,9043,103,47,19,2,11.390,0,25,4547,356,Python,false,7,Python,Data Analysis / Data Visualization,60.000,1
bokeh/bokeh,18332,119,66,37,4,6.491,0,1,4259,591,Python,false,0,Python,Data Analysis / Data Visualization,100.000,9
altair-viz/altair,8568,62,28,19,1,7.236,0,0,2987,142,Python,false,0,Python,Data Analysis / Data Visualization,90.000,5
mikedewar/d3py,1413,2,2,0,0,1.415,9,2444,4520,12,Python,false,0,Python,Data Analysis / Data Visualization,7.000,0
D3xterjs/pydexter,32,0,0,0,0,0.000,185,2014,2718,2,Python,false,0,Python,Data Analysis / Data Visualization,0.000,0
yhat/ggpy,3665,6,4,1,0,1.637,6,2558,3699,19,Python,false,0,Python,Data Analysis / Data Visualization,12.000,0
sinhrks/ggfortify,523,0,0,0,0,0.000,44,245,3336,23,R,false,0,Python,Data Analysis / Data Visualization,0.000,0
kartograph/kartograph.py,1001,0,0,0,0,0.000,155,2376,4329,12,Python,false,1,Python,Data Analysis / Data Visualization,0.000,0
pyqtgraph/pyqtgraph,3465,37,11,4,2,10.678,0,5,3724,237,Python,false,0,Python,Data Analysis / Data Visualization,65.000,11
AirSage/Petrel,247,0,0,0,0,0.000,59,2410,4145,8,Python,false,0,Python,Data Analysis / Data Visualization,0.000,0
blaze/blaze,3171,5,1,0,0,1.577,13,1560,4045,75,Python,false,11,Python,Data Analysis / Data Visualization,7.000,0
dfm/emcee,1381,14,5,4,0,10.138,2,2,4399,63,Python,false,0,Python,Data Analysis / Data Visualization,56.000,3
cigroup-ol/windml,128,0,0,0,0,0.000,130,980,3761,9,Python,false,12,Python,Data Analysis / Data Visualization,0.000,0
vispy/vispy,3150,22,11,5,3,6.984,0,23,3899,158,Python,false,13,Python,Data Analysis / Data Visualization,45.000,2
nicohlr/ipychart,91,2,1,1,0,21.978,4,90,1611,2,Python,false,9,Python,Data Analysis / Data Visualization,12.000,0
bloomberg/bqplot,3491,7,3,1,0,2.005,2,50,2980,54,TypeScript,false,0,Python,Data Analysis / Data Visualization,18.000,0
rewonc/pastalog,417,0,0,0,0,0.000,185,2430,2793,4,JavaScript,false,28,Python,Data Analysis / Data Visualization,0.000,0
apache/incubator-superset,55282,473,216,110,18,8.556,0,1,3047,1036,TypeScript,false,0,Python,Data Analysis / Data Visualization,100.000,40
nathanepstein/dora,623,1,0,0,0,1.605,25,1241,2837,1,Python,false,0,Python,Data Analysis / Data Visualization,2.000,0
sevamoo/SOMPY,519,2,1,0,0,3.854,9,230,3378,20,Jupyter Notebook,false,0,Python,Data Analysis / Data Visualization,7.000,0
lmcinnes/hdbscan,93,1,0,0,0,10.753,16,2205,2640,1,Jupyter Notebook,false,0,Python,Data Analysis / Data Visualization,2.000,0
ayush1997/visualize_ML,185,3,1,0,0,16.216,12,2612,2672,1,Python,false,0,Python,Data Analysis / Data Visualization,7.000,0
reiinakano/scikit-plot,2362,6,3,2,0,2.540,5,1922,2483,13,Python,false,4,Python,Data Analysis / Data Visualization,12.000,0
jwkvam/bowtie,761,2,1,0,0,2.628,13,1572,2775,3,Python,false,0,Python,Data Analysis / Data Visualization,7.000,0
marcotcr/lime,10990,71,34,14,4,6.460,0,846,2808,45,JavaScript,false,0,Python,Data Analysis / Data Visualization,50.000,0
sepandhaghighi/pycm,1401,5,0,0,0,3.569,14,169,2131,13,Python,false,2,Python,Data Analysis / Data Visualization,4.000,0
plotly/dash,19675,177,83,43,5,8.996,0,28,3149,171,Python,false,0,Python,Data Analysis / Data Visualization,70.000,1
asavinov/lambdo,19,0,0,0,0,0.000,78,1056,1957,2,Python,false,6,Python,Data Analysis / Data Visualization,0.000,0
microsoft/tensorwatch,3338,6,1,0,0,1.797,12,85,1653,10000,Jupyter Notebook,false,0,Python,Data Analysis / Data Visualization,7.000,0
rlworkgroup/dowel,32,1,1,1,1,31.250,0,964,1658,48,Python,false,17,Python,Data Analysis / Data Visualization,20.000,0
jaredthecoder/BioPy,40,0,0,0,0,0.000,250,2764,3184,2,Python,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,0.000,0
julianmack/Data_Assimilation,30,0,0,0,0,0.000,35,1050,1702,2,Python,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,0.000,0
ageron/handson-ml,25049,34,16,7,0,1.357,1,423,2837,38,Jupyter Notebook,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,25.000,0
plotly/dash-svm,156,1,1,1,0,6.410,4,1134,1961,16,Python,false,12,Python,Misc Scripts / iPython Notebooks / Codebases,10.000,0
donnemartin/data-science-ipython-notebooks,25809,120,62,30,8,4.650,0,1746,3226,12,Python,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,62.000,0
Wavelets/sarah-palin-lda,10,0,0,0,0,0.000,1156,4520,3528,1,Scala,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,0.000,0
Wavelets/diffusion-segmentation,2,0,0,0,0,0.000,1627,4837,3504,1,Python,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,0.000,0
Wavelets/scipy-tutorials,2,0,0,0,0,0.000,1627,4935,3504,1,Python,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,0.000,0
marcelcaraciolo/crab,85,0,0,0,0,0.000,185,4465,4791,4,Python,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,0.000,0
maxsklar/BayesPy,104,0,0,0,0,0.000,43,171,4181,3,HTML,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,0.000,0
GaelVaroquaux/scikit-learn-tutorial,126,0,0,0,0,0.000,58,4526,4527,1,Python,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,0.000,0
madhusudancs/sentiment-analyzer,52,0,0,0,0,0.000,632,4255,4266,2,JavaScript,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,0.000,0
kevincobain2000/sentiment_classifier,171,0,0,0,0,0.000,331,597,4312,3,OpenEdge ABL,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,0.000,0
fabianp/group_lasso,38,0,0,0,0,0.000,256,4047,4229,2,Python,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,0.000,0
kevincobain2000/jProcessing,149,1,1,0,0,6.711,7,1169,4278,3,OpenEdge ABL,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,5.000,0
mne-tools/mne-python-notebooks,23,1,1,0,0,43.478,8,3952,3952,5,,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,5.000,0
NervanaSystems/neon_course,92,0,0,0,0,0.000,561,323,2705,110,Jupyter Notebook,true,0,Python,Misc Scripts / iPython Notebooks / Codebases,0.000,0
jvns/pandas-cookbook,6360,33,16,11,4,5.189,0,231,3624,16,Jupyter Notebook,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,35.000,0
BRML/climin,179,1,0,0,0,5.587,26,2676,4374,19,Python,false,3,Python,Misc Scripts / iPython Notebooks / Codebases,2.000,0
AllenDowney/DataScience,41,0,0,0,0,0.000,398,569,3583,2,HTML,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,0.000,0
AllenDowney/ThinkBayes,1629,1,0,0,0,0.614,23,1287,3790,6,TeX,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,2.000,0
AllenDowney/ThinkComplexity,95,0,0,0,0,0.000,250,1711,3971,1,PostScript,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,0.000,0
AllenDowney/ThinkOS,528,0,0,0,0,0.000,32,1303,3536,14,TeX,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,0.000,0
mwgg/GreatCircle,77,0,0,0,0,0.000,36,613,3290,5,PHP,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,0.000,0
hangtwenty/dive-into-machine-learning,11200,10,4,3,0,0.893,1,523,3195,31,,true,0,Python,Misc Scripts / iPython Notebooks / Codebases,0.000,0
ericjang/tdb,1360,0,0,0,0,0.000,172,2491,2902,1,JavaScript,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,0.000,0
justmarkham/scikit-learn-videos,3598,11,6,2,0,3.057,6,822,3153,2,Jupyter Notebook,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,21.000,0
amueller/introduction_to_ml_with_python,6974,54,21,11,2,7.743,0,336,2734,14,Jupyter Notebook,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,40.000,0
wesm/pydata-book,20495,202,92,43,6,9.856,0,225,4163,9,Jupyter Notebook,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,62.000,0
trekhleb/homemade-machine-learning,21981,107,56,31,4,4.868,0,125,1848,3,Jupyter Notebook,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,60.000,0
prodmodel/prodmodel,55,0,0,0,0,0.000,185,1592,1712,1,Python,false,5,Python,Misc Scripts / iPython Notebooks / Codebases,0.000,0
maitbayev/the-elements-of-statistical-learning,396,4,3,3,0,10.101,1,660,2045,2,Jupyter Notebook,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,12.000,0
LiYangHart/Hyperparameter-Optimization-of-Machine-Learning-Algorithms,1212,42,18,9,0,34.653,1,427,1218,2,Jupyter Notebook,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,25.000,0
ShivamChoudhary17/Heart_Disease,0,0,0,0,0,0.000,106751,781,1140,1,Jupyter Notebook,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,0.000,0
ShivamChoudhary17/Flight_Fare_Prediction,0,0,0,0,0,0.000,106751,781,1151,1,Jupyter Notebook,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,0.000,0
keras-team/keras-tuner,2783,8,5,1,0,2.875,6,6,1630,63,Python,false,0,Python,Misc Scripts / iPython Notebooks / Codebases,42.000,3
p-christ/nn_builder,164,0,0,0,0,0.000,59,92,1767,2,Python,false,6,Python,Neural Networks,0.000,0
karpathy/neuraltalk,5361,2,1,1,0,0.373,3,2925,3282,6,Python,false,0,Python,Neural Networks,12.000,0
molcik/python-neuron,39,0,0,0,0,0.000,185,1233,2691,1,Python,false,0,Python,Neural Networks,0.000,0
karpathy/neuraltalk2,5437,16,12,10,1,2.943,0,2617,2925,9,Jupyter Notebook,false,0,Python,Neural Networks,31.000,0
molcik/python-neuron,39,0,0,0,0,0.000,185,1233,2691,1,Python,false,0,Python,Neural Networks,0.000,0
atmb4u/data-driven-code,29,0,0,0,0,0.000,146,2558,2566,1,Python,false,0,Python,Neural Networks,0.000,0
mrT23/TResNet,454,4,1,0,0,8.811,8,316,1336,3,Python,false,3,Python,Neural Networks,7.000,0
zueve/neurolab,159,0,0,0,0,0.000,147,1269,3174,3,Python,false,0,Python,Neural Networks,0.000,0
synsense/rockpool,36,2,0,0,0,55.556,14,27,805,16,Python,false,0,Python,Spiking Neural Networks,14.000,2
synsense/sinabs,52,3,1,1,0,57.692,1,37,640,7,Python,false,1,Python,Spiking Neural Networks,18.000,0
neuromorphs/tonic,156,5,2,1,0,32.051,3,0,1595,23,Python,false,1,Python,Spiking Neural Networks,62.000,1
CamDavidsonPilon/lifelines,2204,22,6,2,0,9.982,3,8,3739,108,Python,false,0,Python,Python Survival Analysis,45.000,4
sebp/scikit-survival,1008,16,7,4,0,15.873,1,3,2522,15,Python,false,0,Python,Python Survival Analysis,51.000,1
OpenMined/PySyft,9005,55,20,9,1,6.108,0,0,2319,421,Python,false,0,Python,Federated Learning,85.000,9
hammer/wikichallenge,11,0,0,0,0,0.000,1627,4382,4384,1,Python,false,0,Python,Kaggle Competition Source Code,0.000,0
amueller/kaggle_insults,151,0,0,0,0,0.000,63,2978,4079,2,Python,true,0,Python,Kaggle Competition Source Code,0.000,0
MLWave/kaggle_acquire-valued-shoppers-challenge,66,0,0,0,0,0.000,405,3507,3509,2,Python,false,0,Python,Kaggle Competition Source Code,0.000,0
zygmuntz/kaggle-cifar,44,0,0,0,0,0.000,1068,3442,3646,2,Python,false,0,Python,Kaggle Competition Source Code,0.000,0
zygmuntz/kaggle-blackbox,115,1,1,1,0,8.696,3,3442,3857,2,MATLAB,false,0,Python,Kaggle Competition Source Code,10.000,0
zygmuntz/kaggle-accelerometer,15,0,0,0,0,0.000,1214,3442,3766,1,Python,false,0,Python,Kaggle Competition Source Code,0.000,0
zygmuntz/kaggle-advertised-salaries,55,0,0,0,0,0.000,1401,3442,3928,2,Python,false,0,Python,Kaggle Competition Source Code,0.000,0
zygmuntz/kaggle-amazon,25,0,0,0,0,0.000,1627,3442,3826,1,Python,false,0,Python,Kaggle Competition Source Code,0.000,0
zygmuntz/kaggle-bestbuy_big,8,0,0,0,0,0.000,1627,3442,4082,1,Python,false,0,Python,Kaggle Competition Source Code,0.000,0
kastnerkyle/kaggle-dogs-vs-cats,67,0,0,0,0,0.000,146,3581,3685,2,Python,false,0,Python,Kaggle Competition Source Code,0.000,0
benanne/kaggle-galaxies,488,0,0,0,0,0.000,33,3389,3509,1,Python,false,0,Python,Kaggle Competition Source Code,0.000,0
zygmuntz/kaggle-gender,21,0,0,0,0,0.000,491,3442,3878,1,Python,false,0,Python,Kaggle Competition Source Code,0.000,0
zygmuntz/kaggle-merck,10,0,0,0,0,0.000,189,3442,4054,1,Python,false,0,Python,Kaggle Competition Source Code,0.000,0
zygmuntz/kaggle-stackoverflow,46,0,0,0,0,0.000,1022,2189,4066,1,Python,false,0,Python,Kaggle Competition Source Code,0.000,0
MLWave/kaggle_acquire-valued-shoppers-challenge,66,0,0,0,0,0.000,405,3507,3509,2,Python,false,0,Python,Kaggle Competition Source Code,0.000,0
zygmuntz/wine-quality,24,1,1,1,0,41.667,3,3003,3994,1,R,false,0,Python,Kaggle Competition Source Code,10.000,0
deepmind/lab,6939,20,7,3,1,2.882,0,323,2549,20,C,false,0,Python,Reinforcement Learning,31.000,0
Farama-Foundation/Gymnasium,4289,305,135,74,9,71.112,0,1,441,373,Python,false,0,Python,Reinforcement Learning,100.000,6
SerpentAI/SerpentAI,6612,23,6,3,0,3.479,2,1279,2411,7,Python,true,31,Python,Reinforcement Learning,0.000,0
mwydmuch/ViZDoom,1604,15,9,6,0,9.352,1,18,3072,52,C++,false,0,Python,Reinforcement Learning,31.000,2
openai/roboschool,2077,4,4,1,0,1.926,1,1505,2382,587,Python,false,0,Python,Reinforcement Learning,12.000,0
openai/retro,3228,24,14,11,0,7.435,2,225,2115,594,C,false,0,Python,Reinforcement Learning,25.000,0
kengz/SLM-Lab,1185,5,0,0,0,4.219,16,571,2242,17,Python,false,3,Python,Reinforcement Learning,4.000,0
NervanaSystems/coach,2274,6,4,3,0,2.639,1,347,2244,42,Python,true,17,Python,Reinforcement Learning,0.000,0
rlworkgroup/garage,1749,13,6,4,1,7.433,0,323,1991,71,Python,false,19,Python,Reinforcement Learning,31.000,0
rlworkgroup/metaworld,1017,21,7,4,1,20.649,0,31,1536,34,Python,false,0,Python,Reinforcement Learning,41.000,0
enlite-ai/maze,250,0,0,0,0,0.000,31,367,1015,2,Python,false,0,Python,Reinforcement Learning,0.000,0
ray-project/ray,28732,475,206,89,14,16.532,0,0,2585,900,Python,false,0,Python,Reinforcement Learning,100.000,60
opendilab/DI-engine,2964,56,22,10,0,18.893,1,17,872,51,Python,false,32,Python,Reinforcement Learning,40.000,5
arbox/nlp-with-ruby,1021,5,5,5,1,4.897,0,149,2809,4,Ruby,false,0,Ruby,Natural Language Processing,22.000,0
louismullie/treat,1365,0,0,0,0,0.000,38,2392,4321,18,Ruby,false,0,Ruby,Natural Language Processing,0.000,0
aurelian/ruby-stemmer,252,0,0,0,0,0.000,792,560,5509,7,C,true,0,Ruby,Natural Language Processing,0.000,0
ealdent/uea-stemmer,52,0,0,0,0,0.000,236,1360,5244,2,Ruby,false,0,Ruby,Natural Language Processing,0.000,0
arbox/machine-learning-with-ruby,1999,6,1,1,0,3.002,5,32,2408,18,Ruby,false,0,Ruby,General-Purpose Machine Learning,18.000,0
tsycho/ruby-machine-learning,31,0,0,0,0,0.000,1627,4334,4336,1,Ruby,false,0,Ruby,General-Purpose Machine Learning,0.000,0
